Crank Angle,Cylinder-Pre,Cylinder-Tem,PistWallHeatFlow,HeadWallHeatFlow,LinerWallHeatFlow,BlowByHeatFlow,BlowBy,TurbinePower,Out-Pre,Out-Tem,Turbine-in-Pre,Turbine-in-Tem,Turbine-out-Pre,Turbine-out-Tem
276,182151.0,705.06,-1.536,-0.662036,-0.973721,0,0,870.616,149742,687.742,106902,690.404,96950.3,670.499
279,189907.0,711.961,-1.65024,-0.736217,-0.974308,0,0,1246.73,148535,690.164,110935,699.073,97991.9,675.777
282,198317.0,719.202,-1.77529,-0.817804,-0.97403,0,0,1758.82,148291,693.329,114787,707.537,98868.3,679.015
285,207442.0,726.791,-1.91222,-0.907564,-0.972755,0,0,2472.78,148905,697.292,118723,716.264,99812.3,681.603
288,217341.0,734.735,-2.06214,-1.00631,-0.970324,0,0,3287.95,150133,701.935,122287,724.625,100485.0,684.462
291,228078.0,743.035,-2.22625,-1.11489,-0.966554,0,0,4183.44,151718,707.366,125788,733.672,100688.0,687.7
294,239716.0,751.692,-2.40576,-1.2342,-0.961243,0,0,5194.04,154098,713.718,129599,743.657,100556.0,691.22
297,252322.0,760.7,-2.60191,-1.36517,-0.954164,0,0,6245.5,157079,720.796,133333,752.785,100170.0,694.18
300,265956.0,770.048,-2.8159,-1.50867,-0.945071,0,0,7334.89,160196,728.412,136595,760.656,99511.0,696.327
303,280677.0,779.72,-3.0489,-1.66559,-0.933709,0,0,8468.61,163436,736.604,139441,765.741,98578.8,696.863
306,296537.0,789.693,-3.30196,-1.83673,-0.919825,0,0,9563.83,166814,745.451,141980,769.681,97455.6,696.819
309,313577.0,799.938,-3.57597,-2.02278,-0.90318,0,0,10569.9,169650,755.415,144196,772.537,96273.3,696.399
312,331699.0,810.102,-3.86651,-2.22038,-0.882724,0,0,11530.5,172497,765.792,146365,774.861,95203.8,696.064
315,351010.0,820.424,-4.17799,-2.43297,-0.859129,0,0,12384.1,174787,776.662,148730,776.707,94647.3,696.35
318,371477.0,830.857,-4.51012,-2.66045,-0.832309,0,0,13111.0,177111,787.199,151366,777.887,94664.7,697.314
321,393018.0,841.321,-4.86158,-2.90197,-0.802214,0,0,13799.7,179008,797.805,154152,777.965,94883.7,698.377
324,415506.0,851.727,-5.23025,-3.15609,-0.768938,0,0,14439.7,179144,809.377,156838,776.422,95203.8,699.339
327,438764.0,861.976,-5.61306,-3.4207,-0.732739,0,0,14876.1,178347,821.298,159229,771.424,95952.6,699.789
330,462523.0,871.943,-6.00528,-3.6925,-0.694009,0,0,15040.4,177769,832.751,161276,766.859,97326.5,700.901
333,486422.0,881.485,-6.40054,-3.96702,-0.653332,0,0,14973.2,176838,843.968,163053,763.964,99192.6,703.031
336,510031.0,890.454,-6.79122,-4.23884,-0.611547,0,0,14618.4,173918,855.725,163866,761.474,101376.0,705.13
339,532860.0,898.698,-7.16853,-4.50173,-0.569733,0,0,14038.1,169201,867.637,163691,759.29,103815.0,707.684
342,554233.0,905.899,-7.51856,-4.74553,-0.52893,0,0,13258.1,164104,878.548,162748,757.463,106204.0,710.39
345,573548.0,911.997,-7.83196,-4.96374,-0.490679,0,0,12424.7,159455,887.698,161474,755.539,108271.0,712.137
348,590170.0,916.892,-8.09837,-5.14899,-0.456494,0,0,11475.2,153001,896.332,159671,753.426,110162.0,713.547
351,603509.0,920.455,-8.30744,-5.2939,-0.427803,0,0,10472.6,143381,904.996,156923,750.304,111508.0,713.981
354,612983.0,922.559,-8.44915,-5.39129,-0.405817,0,0,9587.4,135351,911.118,153267,746.232,111730.0,712.82
357,618960.0,924.306,-8.54635,-5.4592,-0.392603,0,0,8721.72,128078,916.407,149389,742.018,111389.0,710.653
360,621632.0,926.27,-8.61115,-5.5072,-0.389275,0,0,7758.36,119936,921.82,145152,737.47,110806.0,707.757
