Crank Angle,Cylinder-Pre,Cylinder-Tem,PistWallHeatFlow,HeadWallHeatFlow,LinerWallHeatFlow,BlowByHeatFlow,BlowBy,TurbinePower,Out-Pre,Out-Tem,Turbine-in-Pre,Turbine-in-Tem,Turbine-out-Pre,Turbine-out-Tem
327,420922.0,894.643,-4.1747,-5.02314,-0.749396,-0.717702,-0.0107429,14609.3,167342.0,850.949,139863.0,762.959,98953.7,734.018
330,443566.0,904.795,-4.50705,-5.34804,-0.708858,-0.759661,-0.0112299,14224.1,166278.0,862.481,141011.0,763.887,101087.0,736.639
333,466239.0,914.33,-4.83899,-5.67195,-0.666199,-0.80368,-0.0117423,13609.2,164925.0,873.646,142011.0,765.293,103498.0,739.122
336,488620.0,923.279,-5.16728,-5.99137,-0.622623,-0.847331,-0.0122461,12812.7,161492.0,885.343,142541.0,766.342,106045.0,740.948
339,510241.0,931.49,-5.48435,-6.2992,-0.579222,-0.889658,-0.0127315,11992.4,156251.0,897.234,142550.0,767.162,108419.0,741.62
342,530549.0,938.797,-5.78118,-6.58707,-0.537246,-0.929519,-0.0131867,11125.3,150577.0,908.271,142279.0,768.169,110544.0,740.276
345,548910.0,945.017,-6.04744,-6.84534,-0.498044,-0.965589,-0.013598,10211.8,145507.0,917.615,141891.0,769.602,112539.0,739.092
348,564681.0,949.983,-6.27273,-7.0644,-0.463052,-0.996527,-0.0139521,9281.69,138735.0,926.512,140794.0,770.58,113905.0,738.222
351,577301.0,953.563,-6.44795,-7.23585,-0.433707,-1.02114,-0.0142371,8471.19,129089.0,935.661,138508.0,770.319,114019.0,736.569
354,586214.0,955.625,-6.56429,-7.35151,-0.411218,-1.03828,-0.0144413,7614.34,120983.0,942.183,135477.0,769.297,113524.0,734.618
357,591966.0,957.603,-6.65127,-7.43463,-0.397903,-1.05035,-0.0145677,6676.82,113426.0,948.139,132246.0,768.084,112773.0,732.905
360,594840.0,960.239,-6.72451,-7.49752,-0.394985,-1.0564,-0.01461,5770.42,105053.0,954.776,128481.0,766.553,111360.0,730.883
