Crank Angle,Cylinder-Pre,Cylinder-Tem,PistWallHeatFlow,HeadWallHeatFlow,LinerWallHeatFlow,BlowByHeatFlow,BlowBy,TurbinePower,Out-Pre,Out-Tem,Turbine-in-Pre,Turbine-in-Tem,Turbine-out-Pre,Turbine-out-Tem
207,96057.5,618.331,-0.434912,-0.491744,-0.834881,0.120579,0.00251462,12920.6,119747.0,714.049,130091.0,725.194,98666.6,714.882
210,97145.3,619.967,-0.448729,-0.503745,-0.838482,0.103375,0.00215054,12546.9,120225.0,714.354,131425.0,726.321,100828.0,716.918
213,98348.1,621.791,-0.464254,-0.517202,-0.842313,0.0792914,0.00164488,12013.3,120817.0,715.551,132811.0,728.312,103348.0,718.654
216,99675.0,623.8,-0.481571,-0.532188,-0.846375,0.0354898,0.00073392,11278.9,121517.0,717.577,133910.0,730.209,106170.0,719.5
219,101131.0,625.997,-0.500753,-0.548764,-0.850632,-0.0663851,-0.00136809,10436.0,121784.0,719.919,134611.0,732.083,109022.0,718.423
222,102723.0,628.383,-0.521918,-0.567031,-0.855074,-0.103117,-0.00211708,9498.53,121983.0,723.319,134887.0,734.016,111520.0,715.67
225,104465.0,630.963,-0.545215,-0.587117,-0.859716,-0.132168,-0.00270251,8532.66,122320.0,727.956,134927.0,736.243,113694.0,714.269
228,106367.0,633.742,-0.570796,-0.609148,-0.864545,-0.157979,-0.00321619,7612.78,122458.0,733.08,134195.0,737.941,115020.0,713.379
231,108436.0,636.722,-0.598802,-0.633244,-0.869524,-0.182048,-0.00368892,6844.51,122246.0,738.359,132241.0,738.301,115031.0,711.787
234,110684.0,639.905,-0.629387,-0.659532,-0.874611,-0.2051,-0.00413545,6058.92,122194.0,743.564,129583.0,737.947,114445.0,710.011
237,113122.0,643.296,-0.662752,-0.688179,-0.879781,-0.227569,-0.00456436,5216.27,122554.0,748.782,126676.0,737.697,113580.0,708.724
240,115765.0,646.902,-0.699123,-0.719373,-0.885006,-0.249736,-0.0049811,4437.28,123131.0,753.649,123230.0,736.379,111977.0,706.547
243,118623.0,650.722,-0.7387,-0.753281,-0.890225,-0.271784,-0.00538905,3772.62,123778.0,758.01,118843.0,733.088,109381.0,702.582
246,121711.0,654.756,-0.781678,-0.790062,-0.895352,-0.293835,-0.00579037,3172.28,124786.0,762.291,113872.0,728.292,106257.0,697.317
249,125042.0,659.007,-0.828311,-0.829928,-0.900323,-0.315999,-0.00618692,2542.65,126509.0,766.9,109274.0,723.458,103337.0,692.031
252,128635.0,663.479,-0.878904,-0.87313,-0.905081,-0.338374,-0.00658023,1876.77,129029.0,771.876,105067.0,718.656,100651.0,687.05
255,132507.0,668.175,-0.933745,-0.919904,-0.909538,-0.361029,-0.00697126,1254.22,132500.0,668.17,101199.0,713.88,98229.1,682.179
258,136675.0,673.106,-0.993237,-0.970577,-0.913635,-0.384024,-0.00736072,781.029,135288.0,672.215,98204.3,710.091,96356.0,678.131
261,141167.0,678.298,-1.05794,-1.0256,-0.917374,-0.407456,-0.00774981,447.358,136427.0,675.295,96404.7,707.993,95150.0,676.398
264,146016.0,683.764,-1.12841,-1.08545,-0.920734,-0.431421,-0.00813974,236.288,136345.0,677.715,95394.2,707.124,94350.2,677.452
267,151257.0,689.521,-1.20528,-1.15063,-0.923682,-0.456005,-0.00853145,140.283,135169.0,679.554,95011.8,707.378,93913.4,681.597
270,156926.0,695.58,-1.2892,-1.22169,-0.926167,-0.481287,-0.00892567,141.969,133284.0,681.037,95558.5,709.511,94120.8,687.716
273,163053.0,701.899,-1.38037,-1.29878,-0.927919,-0.506116,-0.00930065,249.884,131672.0,682.784,97111.8,713.882,94792.0,694.508
276,169657.0,708.385,-1.47855,-1.38176,-0.92851,-0.532726,-0.0096973,471.676,131099.0,685.274,99297.4,719.711,95658.9,700.246
279,176824.0,715.208,-1.58606,-1.47249,-0.928437,-0.560256,-0.0100983,779.782,131804.0,688.817,101645.0,726.046,96677.5,702.657
282,184603.0,722.376,-1.70384,-1.57172,-0.927591,-0.588765,-0.0105037,1277.84,133498.0,693.215,104108.0,733.107,97622.3,704.306
285,193046.0,729.895,-1.83285,-1.68025,-0.925829,-0.619079,-0.0109274,1971.79,135759.0,698.278,106477.0,740.577,98176.6,707.178
288,202209.0,737.77,-1.97412,-1.79891,-0.922989,-0.652153,-0.0113848,2765.69,138560.0,703.99,108755.0,747.874,98423.9,710.836
291,212147.0,746.001,-2.12875,-1.92859,-0.918892,-0.688232,-0.0118783,3673.51,141529.0,710.346,111092.0,754.924,98487.2,714.727
294,222921.0,754.587,-2.29783,-2.07018,-0.913336,-0.727567,-0.0124103,4611.57,144579.0,717.156,113066.0,759.625,98234.1,717.365
297,234586.0,763.52,-2.48251,-2.2246,-0.906104,-0.770413,-0.0129831,5502.65,147810.0,724.422,114438.0,762.353,97628.3,718.901
300,247200.0,772.788,-2.68389,-2.39273,-0.896962,-0.817022,-0.0135989,6353.16,151212.0,732.224,115446.0,763.697,96772.0,719.756
303,260814.0,782.375,-2.90302,-2.57542,-0.885669,-0.867641,-0.0142597,7216.67,154754.0,740.586,116290.0,763.741,95793.3,720.124
306,275475.0,792.256,-3.14085,-2.77342,-0.871988,-0.922495,-0.0149671,8156.84,157913.0,749.295,117148.0,762.05,94786.0,719.759
309,291188.0,802.311,-3.39687,-2.98631,-0.855457,-0.979023,-0.0156787,9142.22,159938.0,758.706,118253.0,758.324,94004.3,718.631
312,307918.0,812.353,-3.66923,-3.21264,-0.835546,-1.0424,-0.0164767,10074.2,161281.0,768.332,119895.0,752.352,93854.7,716.867
315,325743.0,822.563,-3.96126,-3.45499,-0.812725,-1.11035,-0.0173221,11028.8,161972.0,778.415,122102.0,742.937,94186.8,713.458
318,344625.0,832.874,-4.27237,-3.71287,-0.786872,-1.18279,-0.0182124,12041.4,163008.0,788.318,124556.0,736.018,94684.8,711.313
321,364484.0,843.204,-4.60124,-3.98516,-0.757945,-1.25944,-0.0191435,12887.1,163837.0,798.378,126783.0,732.326,95349.3,710.321
324,385203.0,853.465,-4.94582,-4.27016,-0.726038,-1.3399,-0.0201097,13296.3,163120.0,809.463,128584.0,731.273,96523.1,711.335
327,406612.0,863.556,-5.30313,-4.5654,-0.6914,-1.42351,-0.021103,13261.7,161589.0,820.936,130019.0,732.267,98239.5,713.697
